序號, 樂透1, 樂透2, 樂透3, 樂透4, 樂透5, 樂透6
995,9,15,36,2,33,28
996,25,20,3,38,28,7
997,21,23,5,36,37,18
998,28,9,2,7,17,12
999,19,25,36,4,29,28
1000,26,18,6,25,12,24
1001,21,31,24,11,3,9
1002,3,30,12,36,32,29
1003,21,11,15,6,38,37
1004,12,17,21,19,8,20
1005,24,14,31,9,32,26
1006,21,29,20,8,9,11
1007,29,5,31,35,22,25
1008,6,1,28,7,22,16
1009,12,33,32,34,11,31
1010,8,34,18,12,9,31
1011,6,12,26,16,23,22
1012,14,25,31,21,30,10
1013,22,36,25,29,30,20
1014,32,29,28,31,34,20
1015,16,14,32,31,6,4
1016,27,19,2,14,3,36
1017,22,26,7,4,19,11
1018,22,29,30,28,15,12
1019,5,26,30,29,16,25
1020,18,23,6,7,16,19
1021,1,10,17,31,21,5
1022,12,1,8,5,37,9
1023,5,19,27,3,1,13
1024,19,14,9,23,20,13
1025,18,6,14,10,1,37
1026,31,19,11,25,21,23
1027,21,15,32,34,3,28
1028,11,29,38,19,21,26
1029,5,22,35,10,9,33
1030,37,18,16,29,31,28
1031,26,15,20,6,21,28
1032,4,35,24,34,11,38
1033,16,28,7,5,38,12
1034,26,23,19,36,25,12
1035,17,33,35,25,18,9
1036,11,2,20,9,1,15
1037,2,15,21,32,18,38
1038,30,8,14,33,7,26
1039,2,17,22,34,20,6
1040,13,33,17,38,35,25
1041,6,27,15,7,17,28
1042,21,37,22,6,8,30
1043,38,16,26,18,36,29
1044,18,21,8,20,5,35
1045,3,22,4,14,19,20
1046,31,9,7,38,34,36
1047,4,13,31,25,6,37
1048,5,25,16,28,13,30
1049,35,30,5,17,25,37
1050,7,2,11,33,14,16
1051,23,35,26,6,19,38
1052,17,16,13,4,23,14
1053,34,13,30,26,22,17
1054,31,3,24,20,18,37
1055,8,20,31,5,30,19
1056,23,20,2,12,15,14
1057,22,24,5,34,37,31
1058,11,26,19,16,27,13
1059,37,35,20,27,36,34
1060,5,21,8,26,29,7
1061,38,28,20,29,33,35
1062,9,2,30,37,3,7
1063,2,17,14,35,12,30
1064,8,9,4,12,24,11
1065,28,1,31,12,38,6
1066,32,22,14,10,25,34
1067,30,10,22,16,11,31
1068,29,26,24,12,37,3
1069,5,11,36,22,16,31
1070,18,27,14,29,16,23
1071,31,6,35,38,18,14
1072,10,14,25,5,16,22
1073,14,32,17,8,20,33
1074,7,28,10,1,25,36
1075,11,8,12,15,10,26
1076,14,11,30,16,5,33
1077,34,16,5,15,12,14
1078,16,36,23,25,35,17
1079,37,22,35,31,18,5
1080,10,1,30,37,23,15
1081,11,22,4,24,26,2
1082,8,4,23,37,36,38
1083,35,18,19,15,25,6
1084,25,18,8,16,23,22
1085,11,19,6,33,22,24
1086,16,23,20,4,5,34
1087,25,30,36,3,20,37
1088,29,31,36,28,22,33
1089,5,25,22,6,3,21
1090,11,14,3,5,34,19
1091,19,29,16,20,22,36
1092,10,38,19,4,8,33
1093,12,35,36,24,34,31
1094,28,33,5,20,21,9
1095,1,26,6,24,29,34
1096,29,37,26,3,14,4
1097,34,29,3,27,13,10
1098,21,20,14,27,2,16
1099,19,32,30,13,8,4
1100,35,22,11,29,5,13
1101,37,16,1,2,33,4
1102,30,36,33,14,31,18
1103,20,25,36,35,14,32
1104,32,16,18,2,38,3
1105,27,1,25,38,24,36
1106,38,11,20,32,5,18
1107,19,38,1,17,29,15
1108,34,10,3,18,25,11
1109,20,11,31,35,24,7
1110,9,19,6,32,13,3
1111,27,18,11,37,16,7
1112,35,3,18,4,6,24
1113,11,6,32,25,27,8
1114,9,25,29,26,37,11
1115,36,33,23,6,22,19
1116,33,16,15,13,29,34
1117,26,9,36,1,2,30
1118,7,20,5,34,9,16
1119,37,14,32,18,6,35
1120,1,15,23,35,16,27
1121,7,32,30,19,1,34
1122,4,16,32,5,35,21
1123,9,12,35,1,14,8
1124,1,5,37,33,28,23
1125,19,18,26,30,23,38
1126,31,5,17,24,29,35
1127,1,3,30,17,13,10
1128,19,29,11,17,7,6
1129,26,34,24,27,23,11
1130,23,37,10,35,26,7
1131,11,37,38,24,28,26
1132,16,32,11,8,1,18
1133,17,32,29,12,10,6
1134,20,32,24,5,28,37
1135,23,9,18,10,1,31
1136,16,21,34,38,2,23
1137,23,13,28,31,6,3
1138,4,9,14,38,24,1
1139,37,17,15,23,31,1
1140,37,11,35,25,27,33
1141,7,6,21,8,25,2
1142,24,7,18,4,36,30
1143,23,8,28,5,27,11
1144,9,12,30,22,19,1
1145,23,18,25,38,11,12
1146,10,16,35,28,11,23
1147,14,34,8,2,24,16
1148,11,13,4,5,21,33
1149,5,32,9,8,23,24
1150,34,5,10,6,26,30
1151,11,9,34,35,37,19
1152,1,19,31,10,15,8
1153,6,10,34,19,8,4
1154,32,8,22,35,4,27
1155,7,33,22,5,8,13
1156,29,15,13,23,25,30
1157,22,31,1,2,20,14
1158,35,7,19,32,37,1
1159,20,22,29,8,5,25
1160,2,22,4,35,18,23
1161,9,20,22,6,8,33
1162,10,14,6,20,8,16
1163,27,37,33,6,13,1
1164,5,26,1,25,11,24
1165,26,30,3,12,19,6
1166,37,22,31,9,23,18
1167,38,18,11,1,17,31
1168,29,9,1,13,38,36
1169,20,9,8,1,37,33
1170,29,4,1,16,11,17
1171,29,32,17,7,26,34
1172,29,26,15,31,4,3
1173,16,5,38,30,28,1
1174,14,32,33,16,7,12
1175,20,19,10,9,37,13
1176,7,12,26,33,29,21
1177,10,29,28,14,35,37
1178,7,13,26,32,38,30
1179,7,36,4,35,24,1
1180,20,7,16,33,14,29
1181,24,34,17,6,36,2
1182,9,20,34,12,6,11
1183,5,13,19,6,4,33
1184,9,2,7,32,20,18
1185,2,25,27,13,5,10
1186,31,16,28,18,19,2
1187,38,12,19,15,16,37
1188,25,19,15,29,36,5
1189,11,18,34,27,29,30
1190,37,10,1,25,34,19
1191,14,6,5,10,36,7
1192,7,11,21,6,8,33
1193,17,36,4,16,25,23
1194,8,13,7,19,12,21
1195,9,24,32,20,6,18
1196,18,26,33,38,11,8
1197,15,29,14,16,19,25
1198,23,37,15,25,20,13
1199,5,23,19,35,10,4
1200,21,17,37,20,11,35
1201,19,16,3,29,7,26
1202,34,32,4,17,33,5
1203,1,21,2,17,29,34
1204,38,27,20,33,29,28
1205,23,27,19,10,11,22
1206,5,30,9,22,27,29
1207,26,12,28,7,31,34
1208,18,13,36,16,2,5
1209,3,15,27,17,2,20
1210,7,35,32,8,23,37
1211,10,37,2,38,14,30
1212,12,38,32,18,2,33
1213,30,4,17,21,7,19
1214,27,15,33,14,24,26
1215,1,9,25,37,35,14
1216,34,8,24,37,31,32
1217,18,34,35,29,15,19
1218,20,11,7,23,31,21
1219,21,18,13,9,16,12
1220,12,16,30,33,17,38
1221,12,26,31,14,11,2
1222,3,29,8,23,15,4
1223,13,38,37,5,26,33
1224,3,29,5,37,26,28
1225,10,9,33,28,38,5
1226,12,5,6,36,21,32
1227,18,2,7,17,33,37
1228,23,13,6,7,32,18
1229,31,22,8,17,5,18
1230,24,29,22,14,35,25
1231,13,36,21,7,34,18
1232,5,17,14,27,26,21
1233,9,35,5,21,11,36
1234,14,27,33,11,32,15
1235,28,8,32,13,1,6
1236,31,19,4,12,18,22
1237,21,1,25,17,9,24
1238,25,29,18,28,8,32
1239,17,2,20,25,29,34
1240,18,27,11,12,17,16
1241,26,14,37,28,9,8
1242,4,26,8,15,16,6
1243,29,15,34,4,2,30
1244,5,24,15,32,14,19
1245,13,4,25,1,24,27
1246,38,34,36,12,17,21
1247,32,28,33,36,9,23
1248,19,9,37,26,5,27
1249,27,32,18,9,13,25
1250,10,2,36,25,11,6
1251,33,2,25,8,27,6
1252,27,19,12,24,15,1
1253,25,35,22,20,34,13
1254,23,38,3,10,27,5
1255,27,34,22,25,12,29
1256,30,8,7,1,4,28
1257,33,26,7,30,17,2
1258,15,7,36,33,9,26
1259,26,29,17,15,27,3
1260,31,18,1,3,35,5
1261,36,12,13,17,37,5
1262,38,6,8,3,4,12
1263,2,38,3,11,31,24
1264,13,34,29,30,24,32
1265,20,21,8,10,18,27
1266,29,31,8,23,7,17
1267,6,36,5,4,2,8
1268,14,2,9,11,1,4
1269,13,27,19,8,17,4
1270,15,22,17,36,37,16
1271,4,14,11,28,17,23
1272,37,5,8,2,36,30
1273,15,12,38,37,23,22
1274,26,11,18,10,21,22
1275,37,29,13,21,4,35
1276,9,2,31,10,20,19
1277,13,25,24,26,22,32
1278,17,19,13,27,6,38
1279,27,34,8,3,21,7
1280,27,1,11,20,4,5
1281,17,2,30,36,18,4
1282,6,8,32,18,20,28
1283,38,31,4,35,12,9
1284,3,20,25,14,18,34
1285,13,4,31,29,8,2
1286,36,30,16,31,32,33
1287,10,3,24,21,30,5
1288,28,5,30,38,34,20
1289,32,36,35,2,16,15
1290,6,15,8,11,4,35
1291,10,1,21,14,22,31
1292,9,21,8,16,24,2
1293,20,26,13,23,30,38
1294,27,26,34,7,11,9
1295,29,27,13,16,24,7
1296,12,15,35,29,5,17
1297,17,33,5,32,13,22
1298,17,24,1,27,8,13
1299,33,31,15,32,1,13
1300,25,15,20,34,29,6
1301,35,38,18,13,4,34
1302,31,32,37,29,33,34
1303,9,1,18,8,26,21
1304,5,23,13,31,36,1
1305,28,18,15,9,13,37
1306,1,21,31,19,9,24
1307,17,25,9,31,1,33
1308,10,6,18,36,25,4
1309,24,27,37,4,15,38
1310,36,24,5,13,19,29
1311,3,38,18,5,33,29
1312,15,8,32,36,13,19
1313,36,29,3,34,17,19
1314,30,11,21,4,33,5
1315,17,29,9,24,18,20
1316,35,27,26,38,21,6
1317,2,18,38,11,7,24
1318,26,37,33,28,32,27
1319,17,18,8,34,15,36
1320,14,8,26,3,13,34
1321,18,6,5,31,37,26
1322,11,2,24,34,31,14
1323,4,29,1,32,17,16
1324,9,13,35,31,7,15
1325,6,32,4,5,11,35
1326,22,27,24,18,20,16
1327,4,9,8,21,10,34
1328,13,2,36,32,28,4
1329,25,13,9,11,27,26
1330,28,35,25,15,27,16
1331,30,19,23,31,3,7
1332,34,16,21,32,18,27
1333,22,16,32,35,23,12
1334,14,27,18,22,33,1
1335,9,12,14,22,30,6
1336,31,29,23,4,17,11
1337,38,5,35,16,29,31
1338,18,27,17,25,2,33
1339,24,4,1,27,13,15
1340,1,11,9,36,8,31
1341,12,1,6,3,9,2
1342,2,35,37,10,31,34
1343,2,11,7,21,9,38
1344,26,13,31,36,38,14
1345,13,27,16,17,15,10
1346,28,3,5,31,2,24
1347,20,23,7,31,21,10
1348,25,26,6,20,4,32
1349,18,35,31,22,36,16
1350,25,38,2,20,19,9
1351,33,7,34,18,29,9
1352,14,30,17,28,20,13
1353,1,34,19,7,23,30
1354,33,32,14,5,18,27
1355,8,13,35,18,6,2
1356,28,17,12,10,30,6
1357,19,8,10,9,22,13
1358,15,2,6,35,29,24
1359,30,10,38,11,13,22
1360,17,6,14,30,8,36
1361,18,19,13,9,4,28
1362,28,36,20,29,25,2
1363,36,9,5,14,17,13
1364,35,27,6,23,37,11
1365,36,35,24,19,17,14
1366,3,10,18,6,32,11
1367,26,3,9,33,28,10
1368,16,30,14,38,26,25
1369,38,1,6,5,10,16
1370,17,24,9,16,22,18
1371,38,3,15,5,4,10
1372,2,19,13,18,15,16
1373,21,35,32,18,2,16
1374,11,15,9,7,8,35
1375,20,31,34,29,13,17
1376,18,4,17,11,21,10
1377,13,14,38,17,19,24
1378,32,13,10,18,6,24
1379,15,33,27,30,29,35
1380,27,2,25,19,31,34
1381,2,8,33,28,11,12
1382,15,6,32,5,25,3
1383,31,37,22,36,33,8
1384,21,12,16,35,14,36
1385,36,12,27,26,15,23
1386,34,37,4,9,18,19
1387,21,1,19,18,17,5
1388,22,8,38,31,11,5
1389,28,15,29,12,32,4
1390,18,38,29,2,30,28
1391,30,29,4,10,19,36
1392,22,2,21,1,13,17
1393,17,13,3,31,26,18
1394,24,34,8,7,22,1
1395,20,16,3,35,15,31
1396,3,23,11,20,25,18
1397,18,17,1,14,12,24
1398,9,29,1,22,4,25
1399,23,7,32,1,28,33
1400,36,16,1,5,22,21
1401,35,1,9,38,23,28
1402,11,30,4,13,18,23
1403,24,26,33,36,7,15
1404,21,28,15,22,14,19
1405,21,1,26,36,12,2
1406,20,32,38,2,5,8
1407,25,37,31,36,26,27
1408,16,4,29,5,38,21
1409,9,14,34,22,38,4
1410,29,21,37,12,16,35
1411,25,23,22,4,21,18
1412,9,16,22,7,21,25
1413,24,8,38,22,3,9
1414,31,21,34,19,35,18
1415,14,23,29,20,21,13
1416,31,16,36,15,28,25
1417,15,16,9,34,33,14
1418,21,26,32,11,36,22
1419,25,5,35,3,19,17
1420,16,7,19,21,23,38
1421,2,36,31,8,32,17
1422,1,18,11,2,8,22
1423,1,38,30,36,16,35
1424,11,38,30,18,8,3
1425,34,8,16,38,15,36
1426,1,32,20,22,29,28
1427,5,32,21,31,20,14
1428,10,23,28,12,37,4
1429,7,4,6,10,30,11
1430,29,27,9,2,16,1
1431,5,29,19,35,9,2
1432,29,36,13,28,24,33
1433,33,13,34,28,16,36
1434,34,36,10,31,28,6
1435,37,17,3,28,20,30
1436,29,38,12,25,23,7
1437,11,3,27,10,2,13
1438,24,32,23,15,19,25
1439,37,6,5,29,28,23
1440,35,3,4,29,37,15
1441,29,26,18,9,21,35
1442,16,31,32,3,38,37
1443,1,5,15,38,37,35
1444,11,34,26,25,21,12
1445,2,22,4,3,18,28
1446,36,7,9,16,19,22
1447,6,18,16,36,23,31
1448,9,34,31,1,33,36
1449,30,32,24,16,37,8
1450,35,9,5,21,3,22
1451,14,32,17,16,15,12
1452,28,1,5,29,15,13
1453,13,3,37,10,28,32
1454,36,6,7,8,21,33
1455,9,31,19,10,38,28
1456,16,5,29,36,18,20
1457,31,28,8,4,22,34
1458,38,21,28,7,36,31
1459,13,8,10,9,24,26
1460,32,5,11,10,8,27
1461,22,33,35,23,29,6
1462,18,9,16,15,36,21
1463,14,4,20,19,22,21
1464,12,34,24,29,10,17
1465,23,2,36,38,16,32
1466,3,26,38,30,15,8
1467,16,1,28,4,29,21
1468,16,22,11,25,34,36
1469,16,20,14,29,25,7
1470,24,30,38,10,19,22
1471,20,23,3,28,22,18
1472,29,33,25,2,34,6
1473,22,4,34,15,30,33
1474,29,23,4,15,31,22
1475,36,33,28,6,18,25
1476,7,24,10,27,32,31
1477,2,3,6,29,36,25
1478,11,22,36,21,12,5
1479,23,3,6,11,4,1
1480,36,13,38,29,7,5
1481,6,29,35,19,31,27
1482,3,10,28,27,21,9
1483,2,18,5,28,1,16
1484,16,10,18,25,12,19
1485,10,20,14,5,22,12
1486,4,28,10,25,12,38
1487,17,37,19,2,22,36
1488,7,27,33,38,34,9
1489,23,33,24,37,13,7
1490,38,1,30,7,14,6
1491,30,2,33,6,16,28
1492,23,4,32,31,27,6
1493,10,16,26,17,22,32
1494,23,7,27,5,28,17
1495,34,8,36,3,5,32
1496,37,38,25,4,21,31
1497,24,2,38,23,31,15
1498,34,26,28,17,8,3
1499,35,4,16,20,38,12
1500,2,19,14,1,33,29
1501,2,33,6,24,13,32
1502,17,36,16,19,10,32
1503,12,15,7,34,11,20
1504,31,26,9,30,14,15
1505,21,17,8,26,27,13
1506,13,15,17,6,5,37
1507,5,26,31,2,13,1
1508,11,17,9,23,8,27
1509,3,25,26,9,37,33
1510,36,32,6,3,18,23
1511,19,6,12,7,16,36
1512,26,25,21,31,14,20
1513,36,35,27,2,26,29
1514,35,34,5,26,12,20
1515,23,22,35,14,9,36
1516,1,25,6,3,27,18
1517,27,10,30,38,13,33
1518,26,8,12,21,9,20
1519,22,17,29,23,28,30
1520,21,24,33,17,18,13
1521,21,5,28,8,26,37
1522,24,5,36,35,19,23
1523,17,16,14,6,11,30
1524,13,7,26,23,33,11
1525,19,33,4,34,13,15
1526,31,13,12,20,22,3
1527,6,3,7,33,34,32
1528,11,27,18,35,32,3
1529,25,23,30,12,28,14
1530,3,26,33,13,22,30
1531,28,26,35,33,5,38
1532,37,35,14,7,31,34
1533,15,19,10,1,23,38
1534,30,25,34,31,20,5
1535,19,10,5,2,33,34
1536,8,24,25,33,9,1
1537,20,13,7,8,28,18
1538,7,2,16,23,28,6
1539,33,14,35,23,16,30
1540,37,38,24,19,11,17
1541,8,14,28,21,24,29
1542,22,7,1,18,20,9
1543,22,27,29,2,19,20
1544,32,8,6,35,25,13
1545,27,2,21,5,7,38
1546,22,32,19,38,21,9
1547,19,30,28,1,7,38
1548,1,21,10,35,3,15
1549,36,12,20,3,9,8
1550,15,2,38,11,6,26
1551,38,15,8,3,23,1
1552,24,31,23,6,37,18
1553,14,15,35,29,38,34
1554,21,19,10,14,6,37
1555,34,22,29,23,10,3
1556,24,7,6,8,18,13
1557,10,37,3,13,33,20
1558,7,1,25,15,11,33
1559,11,20,29,32,28,13
1560,22,10,32,35,9,6
1561,18,6,17,7,2,33
1562,2,24,19,15,28,30
1563,4,31,38,8,23,24
1564,28,3,5,11,31,7
1565,31,17,16,7,27,1
1566,4,15,14,18,6,1
1567,2,4,16,36,28,6
1568,2,29,15,31,12,10
1569,18,14,23,24,7,30
1570,11,16,24,12,32,19
1571,15,20,16,28,11,7
1572,38,31,2,7,20,19
1573,9,35,23,22,21,30
1574,2,24,22,29,21,30
1575,13,7,6,4,14,19
1576,13,33,19,7,5,6
1577,36,15,28,9,18,20
1578,30,16,10,31,20,22
1579,27,15,29,38,25,1
1580,5,6,35,20,9,19
1581,27,4,11,22,2,20
1582,11,5,3,24,20,23
1583,4,38,30,10,29,13
1584,4,10,29,37,24,2
1585,38,35,8,36,26,33
1586,23,24,3,20,26,9
1587,36,32,2,1,12,25
1588,12,7,18,26,36,6
1589,13,37,36,30,21,5
1590,1,4,29,33,27,24
1591,28,34,3,5,35,27
1592,16,37,4,30,8,29
1593,28,4,17,9,24,1
1594,36,13,20,15,5,34
1595,21,9,26,3,34,18
1596,37,4,34,33,8,20
1597,26,2,6,22,23,32
1598,27,13,11,3,25,19
1599,9,15,14,5,36,7
1600,27,14,22,4,30,11
1601,38,2,36,1,23,14
1602,26,8,32,17,24,6
1603,20,4,24,12,37,16
1604,38,31,8,6,21,15
1605,25,8,37,28,20,26
1606,29,24,13,22,1,28
1607,19,20,30,25,36,29
1608,5,13,23,18,26,7
1609,6,31,17,12,4,21
1610,4,12,20,5,36,26
1611,26,9,14,31,22,36
1612,22,28,1,17,33,15
1613,7,25,17,21,31,8
1614,32,14,7,3,18,33
1615,31,12,7,17,8,10
1616,34,13,18,29,22,12
1617,8,3,38,25,6,22
1618,27,28,31,26,10,11
1619,28,18,21,29,26,14
1620,31,18,27,4,28,3
1621,16,38,5,2,20,33
1622,4,13,17,2,33,30
1623,28,35,30,29,37,9
1624,27,36,12,4,20,22
1625,38,34,32,33,35,7
1626,11,6,22,8,5,23
1627,7,11,26,19,31,36
1628,26,36,11,38,15,37
1629,3,33,27,29,13,10
1630,14,32,21,31,18,6
1631,5,32,24,31,38,28
1632,8,33,28,18,13,9
1633,36,35,27,23,28,5
1634,14,31,4,21,19,23
1635,21,29,20,13,3,35
1636,3,2,37,20,29,13
1637,36,8,27,6,35,25
1638,17,21,31,3,19,37
1639,26,6,10,2,35,8
1640,33,1,6,38,32,35
1641,31,8,16,3,35,27
1642,32,34,22,13,15,14
1643,18,3,21,20,27,13
1644,16,11,21,30,36,4
1645,28,16,7,19,12,33
1646,21,22,16,28,24,32
1647,23,33,3,5,4,32
1648,15,2,6,9,13,31
1649,38,6,4,35,1,17
1650,22,7,17,3,32,8
1651,7,12,21,2,11,17
1652,10,32,12,15,14,37
1653,4,13,27,19,9,10
1654,8,24,20,36,25,26
1655,28,23,4,37,12,7
1656,17,27,20,26,18,10
1657,8,7,21,18,11,37
1658,2,26,13,34,29,33
1659,18,6,19,29,17,12
1660,9,8,7,30,25,22
1661,33,21,2,22,28,5
1662,3,20,14,32,7,29
1663,17,14,5,35,8,1
1664,29,10,31,8,20,22
1665,8,35,2,28,15,14
1666,35,11,27,8,28,6
1667,26,11,18,20,31,2
1668,19,12,35,15,29,28
1669,14,31,15,12,13,32
1670,15,9,35,38,11,27
1671,10,30,34,9,23,27
1672,7,12,6,1,25,33
1673,26,38,17,20,6,12
1674,22,1,20,12,29,2
1675,6,35,15,4,18,30
1676,22,36,34,24,3,16
1677,9,23,6,36,2,13
1678,34,24,12,15,19,25
1679,30,13,18,20,2,29
1680,16,32,5,21,1,30
1681,12,34,32,8,26,27
1682,1,24,25,23,32,34
1683,22,35,26,15,2,25
1684,30,12,5,24,7,10
1685,14,8,33,3,25,36
1686,24,5,36,32,27,15
1687,26,35,21,1,7,31
1688,3,20,24,1,4,36
1689,34,7,16,27,37,26
1690,29,13,31,4,20,19
1691,7,32,9,33,18,3
1692,31,29,27,5,16,12
1693,6,30,12,14,15,26
1694,25,28,19,23,34,22
1695,29,2,37,7,13,9
1696,37,26,27,14,38,32
1697,8,28,38,35,34,18
1698,15,28,27,36,34,33
1699,35,1,19,5,25,23
1700,10,24,36,3,26,16
1701,6,18,24,10,15,16
1702,6,24,16,20,27,22
1703,2,4,9,18,15,6
1704,10,16,25,17,26,28
1705,10,24,36,28,16,22
1706,17,11,31,29,12,38
1707,24,7,2,29,13,4
1708,11,2,32,23,3,10
1709,29,18,2,9,35,20
1710,37,7,33,29,12,27
1711,1,37,3,21,26,30
1712,19,1,21,37,32,20
1713,3,24,6,13,5,1
1714,17,2,25,7,34,8
1715,26,24,9,37,14,31
1716,7,24,29,30,8,12
1717,32,13,29,34,12,3
1718,19,18,31,30,27,34
1719,2,19,20,17,5,24
1720,10,16,9,5,25,28
1721,28,8,1,9,25,21
1722,9,3,11,7,18,33
1723,20,13,31,25,36,4
1724,31,23,18,37,38,34
1725,13,15,4,1,17,25
1726,21,29,6,31,35,26
1727,7,23,9,19,30,18
1728,13,18,23,5,25,38
1729,9,23,11,17,7,14
1730,25,16,22,5,18,34
1731,17,11,22,33,18,14
1732,2,33,36,11,12,22
1733,13,26,22,1,12,25
1734,22,31,35,12,23,29
1735,19,23,22,18,3,36
1736,4,28,3,11,32,2
1737,38,27,17,37,16,8
1738,16,11,22,33,15,8
1739,26,16,37,1,25,14
1740,18,13,32,21,15,33
1741,36,19,8,23,6,9
1742,27,19,36,16,18,38
1743,21,10,34,25,13,16
1744,11,5,4,22,28,18
1745,11,17,22,14,31,18
1746,29,7,30,11,32,27
1747,9,1,36,34,25,18
1748,23,4,34,19,14,25
1749,5,37,18,38,23,24
1750,19,33,3,5,9,14
1751,28,8,32,35,15,2
1752,33,12,10,4,16,19
1753,31,16,15,33,37,3
1754,8,22,13,28,31,14
1755,25,18,38,37,23,4
1756,21,24,35,30,1,37
1757,4,16,24,36,12,29
1758,16,14,8,33,38,13
1759,13,10,8,32,9,38
1760,10,27,13,20,7,33
1761,20,14,18,34,28,16
1762,11,14,33,30,36,26
1763,28,21,27,7,19,11
1764,18,36,32,19,8,11
1765,22,30,18,10,14,9
1766,16,3,11,12,33,23
1767,9,26,29,11,21,36
1768,9,4,3,35,27,1
1769,26,5,3,36,10,4
1770,12,4,38,18,31,23
1771,11,25,22,15,27,28
1772,5,7,36,38,25,13
1773,20,22,23,31,3,35
1774,25,19,24,22,16,21
1775,22,10,31,6,7,12
1776,27,4,31,5,25,19
1777,28,18,24,4,17,35
1778,18,32,22,34,2,13
1779,7,24,31,4,20,21
1780,26,6,33,4,24,27
1781,16,24,15,1,13,14
1782,31,35,28,10,18,23
1783,12,28,7,17,31,8
1784,37,26,4,28,30,33
1785,31,1,13,19,17,20
1786,28,22,10,23,38,37
1787,31,14,17,4,9,28
1788,7,38,20,22,15,26
1789,13,2,20,7,33,9
1790,13,20,14,29,28,16
1791,28,12,37,30,35,34
1792,24,3,11,1,20,26
1793,14,3,22,18,8,26
1794,4,15,6,35,17,7
1795,32,34,23,19,36,30
1796,2,23,3,14,21,29
1797,19,14,20,34,24,11
1798,21,20,31,19,11,23
1799,36,8,35,19,26,17
1800,8,13,16,24,4,35
1801,35,24,33,20,7,8
1802,13,26,23,32,2,38
1803,38,4,31,37,16,30
1804,2,31,26,13,16,10
1805,17,24,16,30,12,37
1806,1,18,10,27,9,6
1807,10,35,23,3,33,9
1808,21,38,35,11,10,34
1809,28,34,3,20,26,2
1810,21,36,10,18,31,6
1811,25,37,10,9,4,26
1812,37,6,35,14,7,11
1813,12,4,27,32,28,5
1814,3,16,15,12,33,10
1815,33,35,36,9,30,26
1816,6,21,5,36,12,19
1817,26,34,16,22,29,25
1818,14,34,36,13,9,17
1819,20,8,33,9,37,38
1820,17,4,20,25,14,3
1821,34,36,4,9,20,15
1822,17,31,6,15,5,23
1823,22,17,26,10,5,27
1824,25,6,24,12,4,8
1825,35,2,5,1,22,18
1826,31,8,33,13,14,22
1827,11,21,27,36,19,14
1828,1,13,34,6,18,14
1829,37,23,11,1,22,27
1830,20,8,19,36,33,5
1831,1,12,23,17,29,24
1832,7,32,11,20,21,4
1833,29,27,8,19,16,14
1834,37,15,12,35,36,13
1835,37,14,1,12,33,24
1836,7,32,17,30,1,38
1837,35,34,21,32,9,24
1838,26,33,29,31,22,30
1839,28,13,4,7,32,22
1840,5,16,3,24,37,13
1841,18,11,17,7,35,9
1842,3,21,24,5,38,13
1843,26,25,8,36,10,6
1844,37,3,32,18,35,16
1845,6,7,22,38,33,25
1846,15,1,22,25,9,20
1847,33,19,21,7,38,31
1848,2,13,11,26,5,37
1849,11,20,15,29,1,26
1850,14,8,37,3,30,10
1851,21,33,23,18,37,2
1852,38,37,35,17,32,9
1853,31,36,12,13,6,22
1854,32,12,18,34,11,30
1855,25,4,18,28,33,30
1856,14,2,19,25,28,36
1857,3,33,25,2,4,20
1858,15,23,27,6,32,38
1859,20,22,19,3,17,29
1860,36,12,25,34,37,30
1861,18,3,15,7,9,10
1862,28,5,7,34,13,19
1863,2,18,17,21,7,22
1864,4,26,16,3,29,6
1865,5,8,21,26,17,3
1866,38,4,33,1,18,17
1867,8,6,26,38,32,31
1868,20,35,15,11,29,30
1869,35,29,4,26,17,20
1870,15,38,34,29,20,12
1871,35,12,25,31,1,16
1872,24,17,18,21,34,35
1873,9,23,7,30,21,14
1874,30,37,13,26,18,6
1875,38,13,30,37,16,6
1876,12,5,9,4,33,36
1877,27,23,11,6,14,33
1878,21,32,15,14,38,26
1879,26,9,29,37,8,19
1880,30,33,28,27,26,18
1881,4,19,14,22,12,38
1882,26,34,8,27,37,15
1883,20,6,19,34,5,30
1884,14,28,19,23,32,16
1885,13,16,29,14,38,3
1886,38,5,35,19,28,21
1887,21,36,34,28,9,12
1888,30,32,6,13,12,15
1889,2,23,5,24,4,26
1890,22,31,3,13,37,1
1891,12,31,29,19,22,18
1892,27,17,20,35,2,33
1893,27,15,10,2,13,29
1894,38,15,13,18,29,7
1895,11,27,19,20,38,36
1896,20,32,23,12,37,15
1897,38,5,17,2,35,11
1898,11,29,27,18,22,5
1899,11,27,37,23,20,10
1900,4,1,6,19,22,20
1901,29,14,24,15,10,21
1902,31,26,23,7,8,17
1903,12,26,37,15,32,23
1904,7,36,38,35,11,18
1905,21,19,31,34,6,33
1906,1,13,22,23,26,38
1907,26,33,6,13,36,25
1908,13,24,27,17,29,9
1909,26,28,12,9,1,14
1910,1,5,7,25,22,38
1911,15,9,6,23,28,17
1912,4,32,25,9,17,26
1913,4,15,17,33,6,11
1914,25,15,11,36,4,26
1915,4,27,21,19,37,12
1916,23,28,37,32,35,24
1917,4,11,18,23,21,2
1918,20,15,30,23,38,13
1919,10,36,24,14,5,12
1920,21,9,2,8,4,28
1921,37,15,27,24,10,21
1922,7,38,14,2,4,18
1923,19,26,31,37,21,33
1924,6,4,24,36,14,21
1925,20,31,21,33,2,35
