編號, 通話開始日期時間, 通話結束日期時間, 資費方案, 網內/網外
407,2019-12-20 9:1:30,2019-12-20 9:2:3,1683型,網內
408,2019-12-20 9:1:30,2019-12-20 9:6:13,983型,網內
409,2019-12-20 9:1:31,2019-12-20 9:2:51,983型,網內
410,2019-12-20 9:1:31,2019-12-20 9:3:34,1683型,網內
411,2019-12-20 9:1:31,2019-12-20 9:3:24,983型,網內
412,2019-12-20 9:1:31,2019-12-20 9:6:21,1683型,網內
413,2019-12-20 9:1:31,2019-12-20 9:3:47,983型,網內
414,2019-12-20 9:1:31,2019-12-20 9:6:15,383型,網外
415,2019-12-20 9:1:31,2019-12-20 9:4:17,383型,網外
416,2019-12-20 9:1:31,2019-12-20 9:2:51,1683型,網外
417,2019-12-20 9:1:32,2019-12-20 9:4:11,383型,網外
418,2019-12-20 9:1:33,2019-12-20 9:6:12,1683型,網外
419,2019-12-20 9:1:33,2019-12-20 9:3:9,983型,網內
420,2019-12-20 9:1:33,2019-12-20 9:3:52,983型,網內
421,2019-12-20 9:1:33,2019-12-20 9:5:48,383型,網外
422,2019-12-20 9:1:34,2019-12-20 9:2:17,1683型,網外
423,2019-12-20 9:1:34,2019-12-20 9:5:43,1683型,網外
424,2019-12-20 9:1:34,2019-12-20 9:2:56,583型,網內
425,2019-12-20 9:1:35,2019-12-20 9:6:7,1683型,網外
426,2019-12-20 9:1:35,2019-12-20 9:2:13,583型,網內
427,2019-12-20 9:1:35,2019-12-20 9:3:35,1683型,網外
428,2019-12-20 9:1:35,2019-12-20 9:6:26,183型,網內
429,2019-12-20 9:1:35,2019-12-20 9:1:38,1683型,網外
430,2019-12-20 9:1:35,2019-12-20 9:4:57,583型,網外
431,2019-12-20 9:1:36,2019-12-20 9:5:9,583型,網外
432,2019-12-20 9:1:36,2019-12-20 9:2:24,583型,網外
433,2019-12-20 9:1:36,2019-12-20 9:3:2,1683型,網外
434,2019-12-20 9:1:36,2019-12-20 9:5:6,983型,網內
435,2019-12-20 9:1:36,2019-12-20 9:4:43,983型,網內
436,2019-12-20 9:1:36,2019-12-20 9:5:45,183型,網外
437,2019-12-20 9:1:36,2019-12-20 9:3:0,183型,網外
438,2019-12-20 9:1:36,2019-12-20 9:5:37,1683型,網外
439,2019-12-20 9:1:37,2019-12-20 9:3:28,983型,網內
440,2019-12-20 9:1:37,2019-12-20 9:2:51,983型,網內
441,2019-12-20 9:1:37,2019-12-20 9:2:36,1683型,網外
442,2019-12-20 9:1:37,2019-12-20 9:2:17,1683型,網外
443,2019-12-20 9:1:37,2019-12-20 9:2:12,983型,網內
444,2019-12-20 9:1:37,2019-12-20 9:6:16,383型,網外
445,2019-12-20 9:1:38,2019-12-20 9:4:8,383型,網外
446,2019-12-20 9:1:38,2019-12-20 9:1:40,1683型,網外
447,2019-12-20 9:1:38,2019-12-20 9:5:26,383型,網外
448,2019-12-20 9:1:38,2019-12-20 9:2:35,1683型,網外
449,2019-12-20 9:1:38,2019-12-20 9:4:23,383型,網外
450,2019-12-20 9:1:39,2019-12-20 9:5:29,983型,網外
451,2019-12-20 9:1:39,2019-12-20 9:1:59,983型,網外
452,2019-12-20 9:1:39,2019-12-20 9:3:34,1683型,網外
453,2019-12-20 9:1:40,2019-12-20 9:4:4,1683型,網外
454,2019-12-20 9:1:40,2019-12-20 9:4:34,983型,網內
455,2019-12-20 9:1:40,2019-12-20 9:6:18,983型,網內
456,2019-12-20 9:1:40,2019-12-20 9:4:39,1683型,網外
457,2019-12-20 9:1:41,2019-12-20 9:6:29,983型,網內
458,2019-12-20 9:1:41,2019-12-20 9:2:54,983型,網內
459,2019-12-20 9:1:41,2019-12-20 9:2:38,1683型,網外
460,2019-12-20 9:1:41,2019-12-20 9:4:16,383型,網外
461,2019-12-20 9:1:41,2019-12-20 9:2:38,1683型,網外
462,2019-12-20 9:1:41,2019-12-20 9:6:2,383型,網外
463,2019-12-20 9:1:42,2019-12-20 9:3:4,1683型,網外
464,2019-12-20 9:1:42,2019-12-20 9:4:52,583型,網內
465,2019-12-20 9:1:42,2019-12-20 9:6:10,583型,網內
466,2019-12-20 9:1:42,2019-12-20 9:4:22,1683型,網外
467,2019-12-20 9:1:43,2019-12-20 9:1:57,183型,網內
468,2019-12-20 9:1:43,2019-12-20 9:5:2,1683型,網內
469,2019-12-20 9:1:43,2019-12-20 9:4:15,1683型,網內
470,2019-12-20 9:1:43,2019-12-20 9:3:43,383型,網內
471,2019-12-20 9:1:43,2019-12-20 9:5:8,183型,網內
472,2019-12-20 9:1:44,2019-12-20 9:2:19,383型,網內
473,2019-12-20 9:1:44,2019-12-20 9:4:43,1683型,網外
474,2019-12-20 9:1:44,2019-12-20 9:2:41,983型,網外
475,2019-12-20 9:1:44,2019-12-20 9:5:16,583型,網內
476,2019-12-20 9:1:45,2019-12-20 9:2:56,583型,網內
477,2019-12-20 9:1:45,2019-12-20 9:4:12,1683型,網外
478,2019-12-20 9:1:45,2019-12-20 9:3:12,1683型,網外
479,2019-12-20 9:1:45,2019-12-20 9:5:33,183型,網內
480,2019-12-20 9:1:45,2019-12-20 9:5:20,383型,網內
481,2019-12-20 9:1:45,2019-12-20 9:5:19,1683型,網內
482,2019-12-20 9:1:45,2019-12-20 9:1:53,983型,網外
483,2019-12-20 9:1:45,2019-12-20 9:2:38,983型,網外
484,2019-12-20 9:1:45,2019-12-20 9:2:27,383型,網外
485,2019-12-20 9:1:45,2019-12-20 9:2:16,383型,網外
486,2019-12-20 9:1:45,2019-12-20 9:2:15,983型,網外
487,2019-12-20 9:1:45,2019-12-20 9:5:50,583型,網外
488,2019-12-20 9:1:46,2019-12-20 9:2:9,583型,網內
489,2019-12-20 9:1:46,2019-12-20 9:4:5,583型,網內
490,2019-12-20 9:1:46,2019-12-20 9:3:58,983型,網外
491,2019-12-20 9:1:46,2019-12-20 9:6:26,183型,網內
492,2019-12-20 9:1:46,2019-12-20 9:6:35,983型,網外
493,2019-12-20 9:1:47,2019-12-20 9:4:44,583型,網外
494,2019-12-20 9:1:47,2019-12-20 9:5:7,383型,網內
495,2019-12-20 9:1:47,2019-12-20 9:6:23,383型,網內
496,2019-12-20 9:1:48,2019-12-20 9:5:34,583型,網外
497,2019-12-20 9:1:48,2019-12-20 9:5:23,183型,網外
498,2019-12-20 9:1:48,2019-12-20 9:3:31,983型,網外
499,2019-12-20 9:1:48,2019-12-20 9:2:50,183型,網內
